Infografia,Provincia,Canton,Confirmados,Region,Fecha_reporte,Hora_reporte
7,El Oro,Arenillas,0,Costa,16/03/2020,16:00
7,El Oro,Huaquillas,0,Costa,16/03/2020,16:00
7,El Oro,Machala,0,Costa,16/03/2020,16:00
7,El Oro,Pasaje,0,Costa,16/03/2020,16:00
7,El Oro,Santa Rosa,0,Costa,16/03/2020,16:00
7,El Oro,Atahualpa,0,Costa,16/03/2020,16:00
7,El Oro,Zaruma,0,Costa,16/03/2020,16:00
7,El Oro,Piñas,0,Costa,16/03/2020,16:00
7,El Oro,Portovelo,0,Costa,16/03/2020,16:00
7,El Oro,El Guabo,0,Costa,16/03/2020,16:00
7,Esmeraldas,Esmeraldas,0,Costa,16/03/2020,16:00
7,Esmeraldas,Quinindé,0,Costa,16/03/2020,16:00
7,Esmeraldas,Rioverde,0,Costa,16/03/2020,16:00
7,Esmeraldas,Atacames,0,Costa,16/03/2020,16:00
7,Guayas,Alfredo Baquerizo Moreno,0,Costa,16/03/2020,16:00
7,Guayas,Balao,0,Costa,16/03/2020,16:00
7,Guayas,Balzar,0,Costa,16/03/2020,16:00
7,Guayas,Colimes,0,Costa,16/03/2020,16:00
7,Guayas,Daule,1,Costa,16/03/2020,16:00
7,Guayas,Durán,4,Costa,16/03/2020,16:00
7,Guayas,Empalme,1,Costa,16/03/2020,16:00
7,Guayas,Guayaquil,28,Costa,16/03/2020,16:00
7,Guayas,Milagro,1,Costa,16/03/2020,16:00
7,Guayas,Naranjal,0,Costa,16/03/2020,16:00
7,Guayas,Pedro Carbó,0,Costa,16/03/2020,16:00
7,Guayas,Salitre,0,Costa,16/03/2020,16:00
7,Guayas,Samborondón,2,Costa,16/03/2020,16:00
7,Guayas,Santa Lucía,0,Costa,16/03/2020,16:00
7,Guayas,Playas,0,Costa,16/03/2020,16:00
7,Guayas,Simón Bolivar,0,Costa,16/03/2020,16:00
7,Guayas,San Jacinto De Yaguachi,0,Costa,16/03/2020,16:00
7,Guayas,El Triunfo,0,Costa,16/03/2020,16:00
7,Guayas,Lomas De Sargentillo,0,Costa,16/03/2020,16:00
7,Guayas,Naranjito,0,Costa,16/03/2020,16:00
7,Guayas,Nobol,0,Costa,16/03/2020,16:00
7,Guayas,Gral. Antonio Elizalde,0,Costa,16/03/2020,16:00
7,Guayas,Isidro Ayora,0,Costa,16/03/2020,16:00
7,Los Ríos,Baba,0,Costa,16/03/2020,16:00
7,Los Ríos,Babahoyo,9,Costa,16/03/2020,16:00
7,Los Ríos,Buena Fe,0,Costa,16/03/2020,16:00
7,Los Ríos,Mocache,0,Costa,16/03/2020,16:00
7,Los Ríos,Montalvo,0,Costa,16/03/2020,16:00
7,Los Ríos,Quevedo,0,Costa,16/03/2020,16:00
7,Los Ríos,Urdaneta,1,Costa,16/03/2020,16:00
7,Los Ríos,Ventanas,0,Costa,16/03/2020,16:00
7,Los Ríos,Vinces,0,Costa,16/03/2020,16:00
7,Los Ríos,Quinsaloma,0,Costa,16/03/2020,16:00
7,Manabí,Bolivar,0,Costa,16/03/2020,16:00
7,Manabí,Jipijapa,0,Costa,16/03/2020,16:00
7,Manabí,Manta,1,Costa,16/03/2020,16:00
7,Manabí,Montecristi,0,Costa,16/03/2020,16:00
7,Manabí,Portoviejo,0,Costa,16/03/2020,16:00
7,Manabí,Santa Ana,0,Costa,16/03/2020,16:00
7,Manabí,Sucre,0,Costa,16/03/2020,16:00
7,Manabí,Jaramijó,0,Costa,16/03/2020,16:00
7,Manabí,El Carmen,0,Costa,16/03/2020,16:00
7,Manabí,Chone,0,Costa,16/03/2020,16:00
7,Santa Elena,Santa Elena,0,Costa,16/03/2020,16:00
7,Santa Elena,La Libertad,0,Costa,16/03/2020,16:00
7,Santa Elena,Salinas,0,Costa,16/03/2020,16:00
7,Santo Domingo de los Tsáchilas,La Concordia,0,Costa,16/03/2020,16:00
7,Santo Domingo de los Tsáchilas,Santo Domingo,0,Costa,16/03/2020,16:00
7,Azuay,Cuenca,1,Sierra,16/03/2020,16:00
7,Azuay,Gualaceo,0,Sierra,16/03/2020,16:00
7,Azuay,Santa Isabel,0,Sierra,16/03/2020,16:00
7,Azuay,Paute,0,Sierra,16/03/2020,16:00
7,Azuay,Sigsig,0,Sierra,16/03/2020,16:00
7,Azuay,Sevilla De Oro,0,Sierra,16/03/2020,16:00
7,Bolívar,Chillanes,0,Sierra,16/03/2020,16:00
7,Bolívar,Chimbo,0,Sierra,16/03/2020,16:00
7,Bolívar,Guaranda,0,Sierra,16/03/2020,16:00
7,Bolívar,San Miguel,0,Sierra,16/03/2020,16:00
7,Bolívar,Echeandía,0,Sierra,16/03/2020,16:00
7,Bolívar,Caluma,0,Sierra,16/03/2020,16:00
7,Cañar,Azogues,0,Sierra,16/03/2020,16:00
7,Cañar,Cañar,0,Sierra,16/03/2020,16:00
7,Cañar,Deleg,0,Sierra,16/03/2020,16:00
7,Cañar,La Troncal,0,Sierra,16/03/2020,16:00
7,Cañar,El Tambo,0,Sierra,16/03/2020,16:00
7,Cañar,Biblián,0,Sierra,16/03/2020,16:00
7,Cañar,Suscal,0,Sierra,16/03/2020,16:00
7,Carchi,Tulcán,0,Sierra,16/03/2020,16:00
7,Carchi,Montúfar,0,Sierra,16/03/2020,16:00
